Item Description,Item #,Inv Date,UOM ,Qty ,Sum of extprice,
GRAPES RED SEEDLESS Total,,,,18,$430.11,
ORANGE CA 138,1690,20-Aug-15,CS,70,"$1,857.10",CA
,,31-Aug-15,CS,16,$482.56,CA
,,27-Aug-15,CS,30,$810.90,CA
,,21-Aug-15,CS,6,$159.18,CA
,,25-Aug-15,CS,23,$621.69,CA
,,17-Aug-15,CS,1,$26.53,CA
ORANGE CA 138 Total,,,,146,"$3,957.96",
BERRIES BLACK 12/6 OZ,1540,04-Aug-15,CS,1,$19.82,GUATEMALA
BERRIES BLACK 12/6 OZ Total,,,,1,$19.82,
KIWI TRAY 27/36,1780,20-Aug-15,CS,2,$25.40,NEW ZEALAND
,,27-Aug-15,CS,3,$38.16,NEW ZEALAND
KIWI TRAY 27/36 Total,,,,5,$63.56,
ARUGULA 2/1.5 LB USA,5205,31-Aug-15,CS,30,$486.60,TX
,,27-Aug-15,CS,4,$63.36,TX
ARUGULA 2/1.5 LB USA Total,,,,34,$549.96,
BERRIES BLUE 12/1 PINT,1550,31-Aug-15,CS,48,"$1,629.60",CA
,,27-Aug-15,CS,5,$161.95,CA
BERRIES BLUE 12/1 PINT Total,,,,53,"$1,791.55",
CHIVES 1 LB,5230,20-Aug-15,CS,1,$8.77,COLUMBIA
,,31-Aug-15,CS,10,$149.50,COLUMBIA
CHIVES 1 LB Total,,,,11,$158.27,
GRAPES RED MUSCADINE 20 LB,1762,31-Aug-15,CS,31,$835.45,FL
GRAPES RED MUSCADINE 20 LB Total,,,,31,$835.45,
WATERMELON SDLS 4/5 CT,1830,20-Aug-15,EACH,11,$81.18,SC
WATERMELON SDLS 4/5 CT Total,,,,11,$81.18,
"PEACHES 25 LB 2 1/2""",1872,20-Aug-15,CS,1,$21.72,NJ
,,27-Aug-15,CS,1,$19.04,NJ
,,25-Aug-15,CS,5,$95.20,NJ
"PEACHES 25 LB 2 1/2"" Total",,,,7,$135.96,
BERRIES STRAW  8/1 LB,1580,04-Aug-15,CS,1,$17.32,CA
BERRIES STRAW  8/1 LB Total,,,,1,$17.32,
ROM/ICE BLEND W/COLOR 4/5 LB,6290,04-Aug-15,CS,1,$18.67,CA
ROM/ICE BLEND W/COLOR 4/5 LB Total,,,,1,$18.67,
ASPARAGUS STANDARD 11 LB,2410,31-Aug-15,CS,2,$69.40,PERU
ASPARAGUS STANDARD 11 LB Total,,,,2,$69.40,
GREENS COLLARD SHREDDED 6/2#  USA,6151,20-Aug-15,EACH,2,$10.48,NJ
GREENS COLLARD SHREDDED 6/2#  USA Total,,,,2,$10.48,
ROMAINE LETTUCE LINER 24 CT,2270,20-Aug-15,CS,5,$135.55,CA
,,27-Aug-15,CS,1,$26.55,CA
,,25-Aug-15,CS,1,$26.55,CA
ROMAINE LETTUCE LINER 24 CT Total,,,,7,$188.65,
CABBAGE GRN SHRED 4/5  W/SEP COLOR,6040,20-Aug-15,CS,1,$15.91,CA
,,20-Aug-15,EACH,1,$6.23,CA
,,25-Aug-15,CS,1,$15.96,CA
CABBAGE GRN SHRED 4/5  W/SEP COLOR Total,,,,3,$38.10,
BROCCOLI FLORETS 6/3 LB,2490,21-Aug-15,CS,4,$106.00,CA
BROCCOLI FLORETS 6/3 LB Total,,,,4,$106.00,
POTATOES IDAHO 090 CT,4309,31-Aug-15,CS,1,$16.88,ID
POTATOES IDAHO 090 CT Total,,,,1,$16.88,
ROMAINE  LINER 24 CT,2270,31-Aug-15,CS,1,$26.47,CA
,,27-Aug-15,CS,1,$26.55,CA
ROMAINE  LINER 24 CT Total,,,,2,$53.02,
BEANS GREEN CUT 2/5 LB USA,6010,20-Aug-15,CS,2,$38.40,CA
,,21-Aug-15,CS,-2,-$38.40,CA
BEANS GREEN CUT 2/5 LB USA Total,,,,0,$0.00,
APPLES GOLD DEL 125/138 XF,1173,10-Sep-15,CS,11,$301.95,WA
,,17-Sep-15,CS,6,$134.70,WA
,,03-Sep-15,CS,12,$338.40,WA
,,14-Sep-15,CS,7,$157.15,WA
,,08-Sep-15,CS,25,$686.25,WA
,,01-Sep-15,CS,13,$366.60,WA
,,15-Sep-15,CS,12,$269.40,WA
