Date,Month,Year,Year-Month,Invoice #,Farm,Specific Product,General Product,Unit,Packaging,Weight (lbs),Count,Quantity,Price per unit,Total Pounds,Total Cost,Notes,,,,,
1/20/2016,1,2016,2016-1,3,KYV,Organic Romaine,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
1/27/2016,1,2016,2016-1,4,KYV,Organic Red Leaf,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
1/27/2016,1,2016,2016-1,4,KYV,Organic Romaine,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
2/3/2016,2,2016,2016-2,5,KYV,Organic Red Leaf,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
2/3/2016,2,2016,2016-2,5,KYV,Organic Romaine,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
2/10/2016,2,2016,2016-2,6,KYV,Organic Red Leaf,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
2/10/2016,2,2016,2016-2,6,KYV,Organic Romaine,lettuce,lb,crate,1,24,8.5,29,204,246.5,,,,,,
2/10/2016,2,2016,2016-2,,Loften Greenhouse,Mixed Lettuce,lettuce,lb,Greenhouse,1,1,22,0.67,22,14.74,,,,,,
3/2/2016,3,2016,2016-3,1,Beli Farms,Cucumbers,cucumbers,lb,crate,20,1,10,30,200,300,,,,,,
3/9/2016,3,2016,2016-3,7,KYV,Organic Red Leaf,lettuce,lb,crate,1,24,11.5,29,276,333.5,,,,,,
3/9/2016,3,2016,2016-3,7,KYV,Organic Romaine,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
3/7/2016,3,2016,2016-3,9,Loften Greenhouse,Beit Alpha Cucumbers,cucumbers,lb,Greenhouse,1,1,77,1.6,77,123.2,,,,,,
3/28/2016,3,2016,2016-3,6,Loften Greenhouse,Beit Alpha Cucumbers,cucumbers,lb,Greenhouse,1,1,39,1,39,39,,,,,,
3/28/2016,3,2016,2016-3,6,Loften Greenhouse,Mixed Lettuce,lettuce,lb,Greenhouse,1,1,11,0.64,11,7.04,,,,,,
3/28/2016,3,2016,2016-3,6,Loften Greenhouse,Mixed Lettuce,lettuce,lb,Greenhouse,1,1,30,0.67,30,20.1,,,,,,
3/23/2016,3,2016,2016-3,561,Family Garden,Organic Mixed Lettuce,lettuce,lb,crate,1,24,20,29,480,580,,,,,,
3/30/2016,3,2016,2016-3,562,Family Garden,Organic Mixed Lettuce,lettuce,lb,crate,1,24,20,29,480,580,,,,,,
3/30/2016,3,2016,2016-3,1539,Wish Farm,strawberries,Strawberries,lb,flat,8,1,100,15,800,1500,,,,,,
3/30/2016,3,2016,2016-3,1539,K&M Farm,English seedless,cucumbers,lb,crate,20,1,6,16.5,120,99,,,,,,
4/1/2016,4,2016,2016-4,7,Loften Greenhouse,Mixed Lettuce,lettuce,lb,Greenhouse,1,1,28,0.67,28,18.76,,,,,,
4/1/2016,4,2016,2016-4,7,Loften Greenhouse,Beit Alpha Cucumbers,cucumbers,lb,Greenhouse,1,1,68,1.6,68,108.8,,,,,,
4/6/2016,4,2016,2016-4,577,Family Garden,Mixed Lettuce,lettuce,lb,crate,1,24,20,29,480,580,,,,,,
4/15/2016,4,2016,2016-4,11,Loften Greenhouse,cucumbers,cucumbers,lb,Greenhouse,1,1,64,1.6,64,102.4,,,,,,
4/15/2016,4,2016,2016-4,11,Loften Greenhouse,Mixed Lettuce,lettuce,lb,Greenhouse,1,1,30,0.67,30,20.1,,,,,,
4/22/2016,4,2016,2016-4,13,Loften Greenhouse,Mixed lettuce,lettuce,lb,Greenhouse,1,1,22,0.67,22,14.74,,,,,,
